Circuit: * C:\Users\vtolenti89\Documents\05_Electronics\02-Projects\NiMH_battery_charger\02-Simulation_Calculation\01_nimh_version_1.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.000235652 +++++++++++++++++++++++++++++++to 0.000235657
Heightened Def Con from 0.000245941 +to 0.000245942
Heightened Def Con from 0.000246002 +++++++++++++++++++++++++++++to 0.000246005
Heightened Def Con from 0.000247062 ++++++++++++++++++++++++++++++++to 0.000247069
Heightened Def Con from 0.000255095 +to 0.000255096
Heightened Def Con from 0.000255157 +++++++++++++++++++++++++++++to 0.00025516
Heightened Def Con from 0.000262064 +++++++++++++++++++++++++++++++to 0.000262069
Heightened Def Con from 0.000263177 ++++++++++++++++++++++++++++++++to 0.000263184
Heightened Def Con from 0.000268905 ++++++++++++++++++++++++++++++++to 0.000268912
Heightened Def Con from 0.000270028 +++++++++++++++++++++++++++++++to 0.000270033
Heightened Def Con from 0.000274598 ++++++++++++++++++++++++++++++++to 0.000274605
Heightened Def Con from 0.000275764 ++++++++++++++++++++++++++++++to 0.000275767
Heightened Def Con from 0.000278062 ++++++++++++++++++++++++++++++to 0.000278065
Heightened Def Con from 0.000280318 ++++++++++++++++++++++++++++++++to 0.000280325
Heightened Def Con from 0.000281453 +++++++++++++++++++++++++++++++to 0.000281458
Heightened Def Con from 0.000282569 ++++++++++++++++++++++++++++++++to 0.00028257
Heightened Def Con from 0.000284821 +++++++++++++++++++++++++++++to 0.000284821
Heightened Def Con from 0.000288336 ++++++++++++++++++++++++++++++to 0.000288339
Heightened Def Con from 0.000289442 ++++++++++++++++++++++++++++++++to 0.000289449
Heightened Def Con from 0.000290587 ++++++++++++++++++++++++++++++++to 0.000290594
Heightened Def Con from 0.000291694 ++++++++++++++++++++++++++++++to 0.000291697
Heightened Def Con from 0.000292794 ++++++++++++++++++++++++++++++++to 0.000292801
Heightened Def Con from 0.00029738 ++++++++++++++++++++++++++++++to 0.000297383
Heightened Def Con from 0.000301982 ++++++++++++++++++++++++++++++to 0.000301985
Heightened Def Con from 0.000303072 +++++++++++++++++++++++++++++++to 0.000303077
Heightened Def Con from 0.000304211 ++++++++++++++++++++++++++++++++to 0.000304218
Heightened Def Con from 0.000305318 ++++++++++++++++++++++++++++++++to 0.000305325
Heightened Def Con from 0.000306452 ++++++++++++++++++++++++++++++++to 0.000306459
Heightened Def Con from 0.000308735 +++++++++++++++++++++++++++++++to 0.00030874
Heightened Def Con from 0.000309898 ++++++++++++++++++++++++++++++to 0.000309901
Heightened Def Con from 0.000313273 ++++++++++++++++++++++++++++++to 0.000313276
Heightened Def Con from 0.000314354 ++++++++++++++++++++++++++++++++to 0.000314361
Heightened Def Con from 0.000315514 ++++++++++++++++++++++++++++++to 0.000315517
Heightened Def Con from 0.000316648 ++++++++++++++++++++++++++++++to 0.000316651
Heightened Def Con from 0.000317711 ++++++++++++++++++++++++++++++++to 0.000317718
Heightened Def Con from 0.000318875 ++++++++++++++++++++++++++++++to 0.000318878
Heightened Def Con from 0.000319939 ++++++++++++++++++++++++++++++++to 0.000319946
Heightened Def Con from 0.000322255 ++++++++++++++++++++++++++++++to 0.000322258
Heightened Def Con from 0.000323384 ++++++++++++++++++++++++++++++to 0.000323387
Heightened Def Con from 0.000329087 +++++++++++++++++++++++++++++++to 0.000329092
Heightened Def Con from 0.000330249 ++++++++++++++++++++++++++++++to 0.000330252
Heightened Def Con from 0.000331358 ++++++++++++++++++++++++++++++to 0.000331361
Heightened Def Con from 0.000332499 ++++++++++++++++++++++++++++++to 0.000332502
Heightened Def Con from 0.00033356 ++++++++++++++++++++++++++++++++to 0.000333567
Heightened Def Con from 0.000342746 +++++++++++++++++++++++++++++++to 0.000342751
Heightened Def Con from 0.000347311 +++++++++++++++++++++++++++++++to 0.000347316
Heightened Def Con from 0.000348481 ++++++++++++++++++++++++++++++to 0.000348484
Heightened Def Con from 0.000350734 ++++++++++++++++++++++++++++++to 0.000350737
Heightened Def Con from 0.000351828 +++++++++++++++++++++++++++++++to 0.000351833
Heightened Def Con from 0.000354038 ++++++++++++++++++++++++++++++++to 0.000354045
Heightened Def Con from 0.00035518 ++++++++++++++++++++++++++++++to 0.000355183
Heightened Def Con from 0.000356311 ++++++++++++++++++++++++++++++to 0.000356314
Heightened Def Con from 0.000357399 +++++++++++++++++++++++++++++++to 0.000357404
Heightened Def Con from 0.000358491 +++++++++++++++++++++++++++++++to 0.000358496
Heightened Def Con from 0.000359622 ++++++++++++++++++++++++++++++to 0.000359625
Heightened Def Con from 0.000360781 ++++++++++++++++++++++++++++++to 0.000360784
Heightened Def Con from 0.000361858 +++++++++++++++++++++++++++++++to 0.000361863
Heightened Def Con from 0.000364155 ++++++++++++++++++++++++++++++to 0.000364158
Heightened Def Con from 0.000365233 +++++++++++++++++++++++++++++++to 0.000365238
Heightened Def Con from 0.000366306 +++++++++++++++++++++++++++++++to 0.000366311
Heightened Def Con from 0.000369773 ++++++++++++++++++++++++++++++to 0.000369776
Heightened Def Con from 0.000370844 +++++++++++++++++++++++++++++++to 0.000370849
Heightened Def Con from 0.000375445 +++++++++++++++++++++++++++++to 0.000375448
Heightened Def Con from 0.000377621 ++++++++++++++++++++++++++++++to 0.000377624
Heightened Def Con from 0.000378745 ++++++++++++++++++++++++++++++to 0.000378748
